2008,12,24,JBL,Buy,100
2009,1,2,JBL,Sell,100
2009,1,16,JBL,Buy,100
2009,1,26,JBL,Sell,100
2009,1,26,JBL,Buy,100
2009,2,2,JBL,Sell,100
2009,1,30,JBL,Buy,100
2009,2,6,JBL,Sell,100
2009,2,10,JBL,Buy,100
2009,2,18,JBL,Sell,100
2009,2,12,JBL,Buy,100
2009,2,20,JBL,Sell,100
2009,2,17,JBL,Buy,100
2009,2,24,JBL,Sell,100
2009,4,7,JBL,Buy,100
2009,4,15,JBL,Sell,100
2008,10,22,JDSU,Buy,100
2008,10,29,JDSU,Sell,100
2008,10,30,JDSU,Buy,100
2008,11,6,JDSU,Sell,100
2009,6,16,JDSU,Buy,100
2009,6,23,JDSU,Sell,100
2009,8,5,JDSU,Buy,100
2009,8,12,JDSU,Sell,100
2009,8,14,JDSU,Buy,100
2009,8,21,JDSU,Sell,100
2009,10,28,JDSU,Buy,100
2009,11,4,JDSU,Sell,100
2009,1,20,KEY,Buy,100
2009,1,27,KEY,Sell,100
2009,2,19,KEY,Buy,100
2009,2,26,KEY,Sell,100
2009,3,5,KEY,Buy,100
2009,3,12,KEY,Sell,100
2009,5,1,KEY,Buy,100
2009,5,8,KEY,Sell,100
2009,5,13,KEY,Buy,100
2009,5,20,KEY,Sell,100
2009,5,19,KEY,Buy,100
2009,5,27,KEY,Sell,100
2009,6,15,KEY,Buy,100
2009,6,22,KEY,Sell,100
2009,6,22,KEY,Buy,100
2009,6,29,KEY,Sell,100
2009,9,2,KEY,Buy,100
2009,9,10,KEY,Sell,100
2009,9,11,KEY,Buy,100
2009,9,18,KEY,Sell,100
2009,10,27,KEY,Buy,100
2009,11,3,KEY,Sell,100
2009,12,3,KEY,Buy,100
2009,12,10,KEY,Sell,100
2009,12,7,KEY,Buy,100
2009,12,14,KEY,Sell,100
2009,12,15,KEY,Buy,100
2009,12,22,KEY,Sell,100
2008,11,18,LEN,Buy,100
2008,11,25,LEN,Sell,100
2009,2,19,LEN,Buy,100
2009,2,26,LEN,Sell,100
2008,11,20,LNC,Buy,100
2008,11,28,LNC,Sell,100
2009,3,5,LNC,Buy,100
2009,3,12,LNC,Sell,100
2008,7,2,LSI,Buy,100
2008,7,10,LSI,Sell,100
2008,7,11,LSI,Buy,100
2008,7,18,LSI,Sell,100
2008,9,16,LSI,Buy,100
2008,9,23,LSI,Sell,100
2009,12,29,LSI,Buy,100
2010,1,6,LSI,Sell,100
2009,2,27,LUV,Buy,100
2009,3,6,LUV,Sell,100
2009,3,24,LUV,Buy,100
2009,3,31,LUV,Sell,100
2008,11,19,M,Buy,100
2008,11,26,M,Sell,100
2009,2,17,MAS,Buy,100
2009,2,24,MAS,Sell,100
2008,1,23,MSI,Buy,100
2008,1,30,MSI,Sell,100
2008,2,29,MSI,Buy,100
2008,3,7,MSI,Sell,100
2008,5,7,MSI,Buy,100
2008,5,14,MSI,Sell,100
2008,8,18,MSI,Buy,100
2008,8,25,MSI,Sell,100
2008,1,15,MU,Buy,100
2008,1,23,MU,Sell,100
2008,3,18,MU,Buy,100
2008,3,26,MU,Sell,100
2008,7,1,MU,Buy,100
2008,7,9,MU,Sell,100
2008,10,27,MYL,Buy,100
